channel,tool,url
nostr,bitcoin-records-checkup,https://exitvelocitybtc.github.io/exitvelocity-audience-tools/bitcoin-records-checkup/?utm_source=nostr&utm_medium=social&utm_campaign=ev_free_tools
nostr,sats-stack-readiness,https://exitvelocitybtc.github.io/exitvelocity-audience-tools/sats-stack-readiness/?utm_source=nostr&utm_medium=social&utm_campaign=ev_free_tools
nostr,self-custody-paper-trail,https://exitvelocitybtc.github.io/exitvelocity-audience-tools/self-custody-paper-trail/?utm_source=nostr&utm_medium=social&utm_campaign=ev_free_tools
bluesky,bitcoin-records-checkup,https://exitvelocitybtc.github.io/exitvelocity-audience-tools/bitcoin-records-checkup/?utm_source=bluesky&utm_medium=social&utm_campaign=ev_free_tools
bluesky,sats-stack-readiness,https://exitvelocitybtc.github.io/exitvelocity-audience-tools/sats-stack-readiness/?utm_source=bluesky&utm_medium=social&utm_campaign=ev_free_tools
bluesky,self-custody-paper-trail,https://exitvelocitybtc.github.io/exitvelocity-audience-tools/self-custody-paper-trail/?utm_source=bluesky&utm_medium=social&utm_campaign=ev_free_tools
telegram,bitcoin-records-checkup,https://exitvelocitybtc.github.io/exitvelocity-audience-tools/bitcoin-records-checkup/?utm_source=telegram&utm_medium=social&utm_campaign=ev_free_tools
telegram,sats-stack-readiness,https://exitvelocitybtc.github.io/exitvelocity-audience-tools/sats-stack-readiness/?utm_source=telegram&utm_medium=social&utm_campaign=ev_free_tools
telegram,self-custody-paper-trail,https://exitvelocitybtc.github.io/exitvelocity-audience-tools/self-custody-paper-trail/?utm_source=telegram&utm_medium=social&utm_campaign=ev_free_tools
discord,bitcoin-records-checkup,https://exitvelocitybtc.github.io/exitvelocity-audience-tools/bitcoin-records-checkup/?utm_source=discord&utm_medium=social&utm_campaign=ev_free_tools
discord,sats-stack-readiness,https://exitvelocitybtc.github.io/exitvelocity-audience-tools/sats-stack-readiness/?utm_source=discord&utm_medium=social&utm_campaign=ev_free_tools
discord,self-custody-paper-trail,https://exitvelocitybtc.github.io/exitvelocity-audience-tools/self-custody-paper-trail/?utm_source=discord&utm_medium=social&utm_campaign=ev_free_tools
youtube,bitcoin-records-checkup,https://exitvelocitybtc.github.io/exitvelocity-audience-tools/bitcoin-records-checkup/?utm_source=youtube&utm_medium=social&utm_campaign=ev_free_tools
youtube,sats-stack-readiness,https://exitvelocitybtc.github.io/exitvelocity-audience-tools/sats-stack-readiness/?utm_source=youtube&utm_medium=social&utm_campaign=ev_free_tools
youtube,self-custody-paper-trail,https://exitvelocitybtc.github.io/exitvelocity-audience-tools/self-custody-paper-trail/?utm_source=youtube&utm_medium=social&utm_campaign=ev_free_tools
substack,bitcoin-records-checkup,https://exitvelocitybtc.github.io/exitvelocity-audience-tools/bitcoin-records-checkup/?utm_source=substack&utm_medium=social&utm_campaign=ev_free_tools
substack,sats-stack-readiness,https://exitvelocitybtc.github.io/exitvelocity-audience-tools/sats-stack-readiness/?utm_source=substack&utm_medium=social&utm_campaign=ev_free_tools
substack,self-custody-paper-trail,https://exitvelocitybtc.github.io/exitvelocity-audience-tools/self-custody-paper-trail/?utm_source=substack&utm_medium=social&utm_campaign=ev_free_tools
